ID US,User Story,ID Tâche,Tâche Technique Détaillée,Estimation (min),Responsable
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.8,"Intégrer FullCalendar v6.1.10 (CDN)",25,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.9,"Configurer 4 vues (Month, Week, Day, List)",35,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.10,"Styliser avec couleurs par type d'événement",40,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.11,"Ajouter modal popup au clic sur événement",50,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.12,"Intégrer navbar frontoffice",25,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.13,"Tester affichage calendrier",30,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.1,"Créer compte OpenWeatherMap API",10,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.2,"Configurer WEATHER_API_KEY dans .env.local",10,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.3,"Créer src/Service/WeatherService.php",35,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.4,"Implémenter méthode getWeatherForEvent()",50,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.5,"Gérer météo actuelle vs prévisions (5 jours)",40,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.6,"Créer méthode getWeatherEmoji() pour icônes",25,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.7,"Intégrer dans FrontofficeEvenementController",30,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.8,"Afficher section météo dans index.html.twig",45,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.9,"Styliser avec gradients et émojis",35,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.10,"Messages personnalisés selon météo",30,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.11,"Gérer erreurs API (timeout, clé invalide)",25,Admin
US-5.25,"En tant qu'Étudiant, je souhaite voir la météo prévue",T5.25.12,"Tester affichage météo",25,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.1,"Ajouter colonne feedbacks (JSON) dans Participation (déjà fait)",20,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.2,"Créer migration pour feedbacks",15,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.3,"Créer src/Enum/SentimentFeedback.php",25,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.4,"Implémenter méthodes addFeedback(), getFeedbackByEtudiant() dans Participation",40,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.5,"Créer src/Controller/FeedbackController.php",25,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.6,"Ajouter route /feedback/{participationId}/form",15,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.7,"Implémenter méthode form() avec vérifications",35,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.8,"Ajouter route POST /feedback/{participationId}/submit",20,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.9,"Implémenter méthode submit() avec sauvegarde JSON",40,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.10,"Créer template templates/frontoffice/feedback/form.html.twig",60,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.11,"Système de notation par étoiles (1-5)",45,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.12,"Sélection de sentiment avec émojis",35,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.13,"Champ commentaire libre",20,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.14,"Styliser avec design moderne",40,Admin
US-5.26,"En tant qu'Étudiant, je souhaite donner mon feedback",T5.26.15,"Tester soumission feedback",30,Admin
US-5.27,"En tant qu'Étudiant, je souhaite modifier ou supprimer mon feedback",T5.27.1,"Ajouter route /feedback/{participationId}/edit",15,Admin
US-5.27,"En tant qu'Étudiant, je souhaite modifier ou supprimer mon feedback",T5.27.2,"Implémenter méthode edit() pour modifier feedback existant",30,Admin
US-5.27,"En tant qu'Étudiant, je souhaite modifier ou supprimer mon feedback",T5.27.3,"Pré-remplir formulaire avec feedback existant",25,Admin
US-5.27,"En tant qu'Étudiant, je souhaite modifier ou supprimer mon feedback",T5.27.4,"Ajouter route DELETE /feedback/{participationId}/delete",15,Admin
US-5.27,"En tant qu'Étudiant, je souhaite modifier ou supprimer mon feedback",T5.27.5,"Implémenter méthode delete() pour supprimer feedback",20,Admin
US-5.27,"En tant qu'Étudiant, je souhaite modifier ou supprimer mon feedback",T5.27.6,"Ajouter boutons ""Modifier"" et ""Supprimer"" dans mes_participations.html.twig",20,Admin
US-5.27,"En tant qu'Étudiant, je souhaite modifier ou supprimer mon feedback",T5.27.7,"Tester modification de feedback",20,Admin
US-5.27,"En tant qu'Étudiant, je souhaite modifier ou supprimer mon feedback",T5.27.8,"Tester suppression de feedback",20,Admin
US-5.28,"En tant qu'Étudiant, je souhaite évaluer par catégories",T5.28.1,"Ajouter rating_categories dans structure JSON du feedback",20,Admin
US-5.28,"En tant qu'Étudiant, je souhaite évaluer par catégories",T5.28.2,"Créer 4 sections de notation dans form.html.twig",45,Admin
US-5.28,"En tant qu'Étudiant, je souhaite évaluer par catégories",T5.28.3,"Implémenter système d'étoiles pour chaque catégorie",50,Admin
US-5.28,"En tant qu'Étudiant, je souhaite évaluer par catégories",T5.28.4,"Styliser avec couleurs différentes par catégorie",35,Admin
US-5.28,"En tant qu'Étudiant, je souhaite évaluer par catégories",T5.28.5,"Valider que toutes catégories sont notées",25,Admin
US-5.28,"En tant qu'Étudiant, je souhaite évaluer par catégories",T5.28.6,"Sauvegarder dans rating_categories du JSON",20,Admin
US-5.28,"En tant qu'Étudiant, je souhaite évaluer par catégories",T5.28.7,"Tester soumission avec toutes catégories",25,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.1,"Créer src/Service/FeedbackAnalyticsService.php",30,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.2,"Implémenter méthode analyzeEventFeedbacks() pour un événement",45,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.3,"Calculer ratings moyens (global, par catégorie)",35,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.4,"Calculer distribution des sentiments",30,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.5,"Implémenter méthode analyzeByEventType() pour grouper par type",50,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.6,"Calculer taux de satisfaction par type",30,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.7,"Injecter FeedbackAnalyticsService dans EvenementController",15,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.8,"Afficher section ""Statistiques & Rapports AI"" dans index.html.twig",40,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.9,"Créer graphiques avec Chart.js (ratings par type)",60,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.10,"Afficher tableaux de statistiques détaillées",45,Admin
US-5.29,"En tant qu'Admin, je souhaite consulter statistiques feedbacks",T5.29.11,"Tester calculs statistiques",30,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.1,"Créer compte Hugging Face et obtenir API key",15,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.2,"Configurer HUGGINGFACE_API_KEY dans .env.local",10,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.3,"Configurer HUGGINGFACE_MODEL (mistralai/Mistral-7B-Instruct-v0.2)",10,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.4,"Créer src/Service/AIReportService.php avec HttpClientInterface",30,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.5,"Implémenter méthode prepareDataForAI() dans FeedbackAnalyticsService",35,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.6,"Créer méthode buildAnalysisPrompt() avec données structurées",45,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.7,"Implémenter méthode callMistralAPI() avec nouvelle API router",50,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.8,"Gérer format OpenAI-compatible (messages, choices)",40,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.9,"Implémenter méthode generateAnalysisReport()",30,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.10,"Ajouter route POST /backoffice/evenement/ai/generate-analysis",20,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.11,"Retourner JsonResponse avec rapport généré",20,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.12,"Ajouter bouton ""Générer Analyse AI"" dans index.html.twig",30,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.13,"Implémenter appel AJAX avec fetch()",35,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.14,"Afficher loading spinner pendant génération",25,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.15,"Afficher rapport dans modal avec formatage",45,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.16,"Gérer erreurs API (401, 403, 500)",30,Admin
US-5.30,"En tant qu'Admin, je souhaite générer rapport d'analyse AI",T5.30.17,"Tester génération rapport",30,Admin
